company_id,scenario,department_id,headcount,connected_employee_share,family_link_share,referral_share,promoted_share,avg_salary,avg_performance,avg_merit,manager_count,department_nepotism_risk_score,surname_concentration,city_concentration,school_concentration,college_concentration,promoted_share_connected,raw_nepotism_risk_score,anomaly_score,anomaly_rank,is_anomalous,model_feature_count,model_features_used
HNR-03,High nepotism risk,D02,2,1.0,1.0,1.0,1.0,29500.0,75.69999999999999,80.75,2,0.4491,1.0,1.0,0.5,1.0,1.0,0.2908,1.0,1,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
MER-05,Merit-based,D02,3,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,27233.33333333333,80.06666666666666,90.7,2,0.081,0.6667,0.6667,0.3333,0.6667,0.5,0.1146,0.9273,2,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
MER-04,Merit-based,D02,1,1.0,1.0,0.0,1.0,33800.0,70.4,77.4,1,0.295,1.0,1.0,1.0,1.0,1.0,0.217,0.9254,3,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
HNR-11,High nepotism risk,D01,9,1.0,0.3333333333333333,0.8888888888888888,0.3333333333333333,24333.33333333333,71.71111111111111,79.48888888888888,2,1.0,0.3333,0.8889,0.8889,0.5556,0.3333,0.5545,0.8381,4,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
HNR-14,High nepotism risk,D02,14,1.0,0.2857142857142857,0.8571428571428571,0.2142857142857142,20971.42857142857,65.11428571428571,77.31428571428572,2,0.8825,0.1429,0.8571,0.6429,0.3636,0.2308,0.4983,0.8137,5,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
HNR-10,High nepotism risk,D02,7,1.0,0.7142857142857143,1.0,0.0,20500.0,62.9,75.67142857142858,2,0.8148,0.2857,0.8571,0.8571,0.5,0.0,0.4658,0.7002,6,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
MOD-02,Moderate favoritism,D01,2,1.0,0.5,0.0,0.5,28350.0,72.45,96.35,2,0.1496,0.5,0.5,0.5,1.0,1.0,0.1474,0.6489,7,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
MOD-15,Moderate favoritism,EXEC,1,1.0,1.0,1.0,0.0,51400.0,69.3,80.5,0,0.3395,1.0,1.0,1.0,0.0,0.0,0.2383,0.6469,8,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
MOD-09,Moderate favoritism,D01,4,1.0,0.25,0.0,0.5,23325.0,71.6,88.1,2,0.1189,0.25,0.5,0.25,0.25,1.0,0.1327,0.5926,9,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
MER-04,Merit-based,D03,3,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,26800.0,71.60000000000001,80.53333333333333,2,0.0948,0.3333,0.3333,0.3333,0.5,1.0,0.1211,0.5878,10,1,16,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_count, department_nepotism_risk_score"
