variable,coefficient,standard_error,z_stat,p_value,confidence_interval_lower,confidence_interval_upper,significance_5pct,model,task,n_obs,pseudo_r_squared
const,-14.762172731172564,0.7783234074360603,-18.966630824841644,3.218874361782748e-80,-16.287658578071735,-13.236686884273391,True,Hiring explanatory Logit,hiring,14109,0.23317815765247218
high_school_gpa,0.002918465643238476,0.0068698980759826,0.4248193511693474,0.6709683698551316,-0.01054628716314843,0.016383218449625384,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
college_gpa,0.031507213164145356,0.00813512739797355,3.8729833747894054,0.00010751116411634155,0.015562656454472155,0.04745176987381856,True,Hiring explanatory Logit,hiring,14109,0.23317815765247218
test_score,0.056780629907877855,0.005001431187632822,11.352876362326226,7.176241639591348e-30,0.04697800490896213,0.06658325490679358,True,Hiring explanatory Logit,hiring,14109,0.23317815765247218
interview_score,0.03742341293233425,0.004945254140463407,7.567540892615763,3.8035546411531425e-14,0.02773089292262839,0.047115932942040105,True,Hiring explanatory Logit,hiring,14109,0.23317815765247218
years_experience,0.08226988945010058,0.0075966071400341085,10.829820199143692,2.4864306732938757e-27,0.06738081305093391,0.09715896584926725,True,Hiring explanatory Logit,hiring,14109,0.23317815765247218
education_level_score,-0.08992537025699826,0.08058251471101331,-1.1159414741459794,0.26444718731386274,-0.24786419687425343,0.06801345636025691,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
family_link_flag,0.3292729284493619,0.14003080764804654,2.3514320454178663,0.018701305218994484,0.05481758873313475,0.6037282681655891,True,Hiring explanatory Logit,hiring,14109,0.23317815765247218
same_high_school_flag,-0.11845721422803132,1.1134078560123135,-0.10639157393076744,0.9152716781639176,-2.300696512116124,2.0637820836600618,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
same_city_flag,0.40807622000057464,0.26911446792658683,1.5163667087266965,0.12942665221416524,-0.11937844485419502,0.9355308848553443,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
same_college_flag,-0.014651041751188776,0.1779812822101284,-0.08231787955034199,0.9343939368467372,-0.36348794480529983,0.3341858613029223,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
same_last_name_flag,0.17240844367437394,0.20777551966260932,0.8297822763448492,0.40666189333029057,-0.2348240917334342,0.579640979082182,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
referral_flag,0.40712052947917,0.15584823997746058,2.612288271834507,0.008993838202381258,0.1016635920693918,0.7125774668889482,True,Hiring explanatory Logit,hiring,14109,0.23317815765247218
connection_strength,0.31921610217932683,0.7856370226633789,0.40631499403777593,0.6845111697314807,-1.2206041671621741,1.8590363715208276,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
has_discretionary_channel,-0.44661397683306164,0.36126702544245576,-1.2362434027464273,0.21636810186454103,-1.1546843355021903,0.26145638183606706,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
discretionary_family_flag,2.179580926756307,0.6055364221223803,3.599421681551318,0.00031892566588411804,0.9927513480691981,3.3664105054434157,True,Hiring explanatory Logit,hiring,14109,0.23317815765247218
discretionary_referral_flag,-0.3514956639931519,0.35198103409592657,-0.9986210333632852,0.3179783070943011,-1.0413658140623328,0.33837448607602894,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
discretionary_alumni_network_flag,0.32018650655239755,0.31306559644793536,1.022745744614728,0.3064280766366396,-0.2934107872841064,0.9337838003889015,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
discretionary_legacy_referral_flag,1.6935736133078856,1.134071869204836,1.4933565140764395,0.13534388954933066,-0.5291664062136117,3.916313632829383,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
discretionary_internal_source_flag,0.1517182396070007,0.2869971810968382,0.5286401734928823,0.5970550862414432,-0.41078589900732176,0.7142223782213232,False,Hiring explanatory Logit,hiring,14109,0.23317815765247218
